num,sum(qty)
P988CDM,2
8100251,28
P987CDM,50
P1830CDP,126
P1819CDP,39
P1001CDM,62
P726CDM,79
8100257,12
P1003CDM,12
P1808CDP,84
R5365ONZ,34
P729CDM,35
P739CDM,8
P1005CDM,54
P733CDM,15
P1871CDP,123
P731CDM,29
P1004CDM,48
P1799CDP,86
P1796CDP,123
8100255,12
OCG0011,94
P1795CDP,124
P748CDM,11
R982143ONZ,0
P1008CDM,45
P1762CDP,10
P741CDM,158
OCG0268,0
P1007CDM,43
R55038ONZ,45
OCG0438,38
R55049ONZ,12
8100254,21
OCG0628,0
OCG0180,81
P1009CDM,13
R54133ONZ,0
R34505ONZ,28
P760CDM,1
OCG0177,35
P999CDM,194
P1305CDM,57
OCG0313,56
P768CDM,519
P1307CDM,32
P757CDM,83
P998CDM,44
P755CDM,29
P1308CDM,37
P754CDM,44
OCG0234,125
R54090ONZ,60
P1805CDP,12
P1014CDM,63
P1800CDP,84
P749CDM,47
P750CDM,67
P751CDM,16
P752CDM,226
8100287,6
P996CDM,37
OCG0585,15
P1333CDM,41
R55114ONZ,16
P1646CDP,58
P1633CDP,10
R55012ONZ,11
P1611CDP,0
P1337CDM,5
OCG0751,146
R55100ONZ,1
P772CDM,51
P1357CDM,113
R55156ONZ,14
P774CDM,44
P1610CDP,75
8100286,0
R55101ONZ,16
P777CDM,20
R55172ONZ,6
P779CDM,16
OCG0264,65
R54042ONZ,116
P1278CDM,46
P1609CDP,57
R55166ONZ,12
P770CDM,93
8100284,8
OCG0257,135
8100283,1
P1628CDP,62
P413CDP,0
8100277,8
P440CDP,0
P459CDP,56
P461CDP,0
P791CDM,151
8100278,27
P785CDM,948
R54106ONZ,38
P470CDP,17
P471CDP,18
P473CDP,19
OCG0669,70
OCG0691,16
P793CDM,161
P794CDM,91
P484CDP,0
P477CDP,40
P1365CDM,49
8100281,10
8100282,3
P409CDP,20
P396CDP,19
P812CDM,53
P813CDM,145
P376CDP,73
P806CDM,49
R54113ONZ,40
P805CDM,30
P374CDP,131
P804CDM,84
OCG0749,1
P370CDP,101
P795CDM,187
8100274,9
P799CDM,62
P333CDP,0
OCG0178,32
P1368CDM,41
P803CDM,44
P802CDM,19
OCG0348,66
P1372CDM,176
8100273,5
P1453CDM,1
R55184ONZ,238
P1359CDM,75
R55199ONZ,212
8100272,0
R55183ONZ,373
P816CDM,45
P817CDM,64
R54110ONZ,6
P1447CDP,0
P1408CDP,59
P1406CDP,40
8100271,4
P1404CDP,84
P820CDM,171
P819CDM,18
OCG0422,22
P1426CDP,8
OCG0324,50
P369CDP,0
R54108ONZ,46
P1392CDM,0
P532CDP,0
P1403CDP,134
P1393CDM,0
OCG0590,30
R55144ONZ,90
P1394CDM,30
8100264,10
8100265,9
OCG0384,17
R34023ONZ,4
8100266,9
R34236ONZ,52
OCG0753,58
R34491ONZ,16
P1396CDM,24
OCG0371,110
P1342CDP,0
OCG0834,82
OCG0673,220
P1340CDP,20
R34314ONZ,0
P540CDP,24
8100267,8
P824CDM,163
P1330CDP,80
P829CDM,164
OCG0556,0
R53057ONZ,33
8100268,7
P823CDM,92
P1334CDP,70
8100269,3
P830CDM,12
P831CDM,29
OCG0640,74
P1333CDP,64
P1308CDP,0
R54173ONZ,6
8100263,0
P1318CDP,72
P1314CDP,0
P1309CDP,0
P1406CDM,28
R54186ONZ,698
8100262,25
OCG0823,4
8100261,23
R54103ONZ,64
OCG0828,60
8100260,10
OCG0642,152
R55081ONZ,2
P1409CDM,46
8100259,8
OCG0630,18
P835CDM,47
P1195CDP,16
8100296,9
P1186CDP,17
P838CDM,14
R34313ONZ,4
P837CDM,13
P1180CDP,0
8100295,9
P1179CDP,69
OCG0303,44
OCG0626,94
R34055ONZ,9
P228CDP,5
8100293,13
R34403ONZ,277
P323CDP,0
P1403CDM,110
OCG0741,32
P840FCDM,106
P332CDP,0
8100292,4
R34264ONZ,4
8100290,10
R982354ONZ,66
P562CDP,0
P841CDM,154
OCG0773,4
R53054ONZ,32
R34258ONZ,2
R34265ONZ,4
OCG0827,2
P666CDP,0
R34367ONZ,8
R31532ONZ,182
P661CDP,12
P659CDP,0
P1404CDM,42
P1170CDP,0
OCG0738,24
R34299ONZ,54
P1405CDM,1
P1178CDP,0
8100297,24
R31204ONZ,8
P1091CDP,0
8100298,9
P1090CDP,0
8100299,5
OCG0787,170
P650CDP,0
P1074CDP,77
P648CDP,24
P1075CDP,16
OCG0732,78
P840MCDM,145
P1073CDP,0
P843CDM,139
P647CDP,0
OCG0835,87
P844CDM,34
P1444CDM,147
P847CDM,69
8100301,4
P635CDP,0
P627CDP,0
P1068CDP,24
P613CDP,30
8100302,9
P617CDP,55
P618CDP,46
P619CDP,12
R34256ONZ,88
OCG0786,6
P667BCDP,0
P674BCDP,20
P1105CDP,23
R34255ONZ,45
P1122CDP,4
P674SCDP,17
OCG0793,224
OCG0293,24
P1149CDP,18
R34396ONZ,138
OCG0771,14
P676CDP,75
P1426CDM,58
R34397ONZ,152
P700CDP,0
P699CDP,180
R34348ONZ,34
P1301CDP,49
P696CDP,48
P1345CDP,0
P859CDM,43
OCG0763,1
P864CDM,75
P1351CDP,14
P680CDP,0
P857CDM,79
P610CDP,0
P1379CDP,24
P858CDM,18
P1384CDP,78
8100310,12
R981956ONZ,10
P601CDP,21
8100309,12
P600CDP,0
R53045ONZ,0
OCG0750,1
P598CDP,81
P710CDP,36
OCG0737,32
P1465CDP,60
P1455CDM,70
OCG0716,32
P584CDP,25
8100308,8
P580CDP,74
R980969ONZ,108
R34140ONZ,32
OCG0731,61
P655CDP,34
R31615ONZ,26
P711CDP,0
P709CDP,0
P1479CDM,91
P707CDP,3
OCG0350,0
P595CDP,0
P1498CDM,14
8100306,7
P579CDP,69
P571CDP,78
OCG0717,88
8100305,3
P853CDM,31
P848CDM,2
R681953ONZ,43
R34231ONZ,46
P855CDM,279
P1479CDP,89
R34215ONZ,34
P865CDM,318
P866CDM,0
OCG0880,67
P867CDM,7
8100311,7
P868CDM,485
R781766ONZ,58
R31549ONZ,76
OCG0588,8
P1504CDM,2
P1554CDP,12
P771CDP,0
R31432ONZ,428
P772CDP,34
OCG0719,20
OCG0029,28
P774CDP,72
P1521CDM,465
R981050ONZ,52
8100312,5
OCG0736,16
P1711CDM,38
R31526ONZ,1
OCG0519,87
R31287ONZ,6
8100313,7
OCG0720,18
OCG0240,185
R31288ONZ,28
8100314,7
OCG0389,0
P1729CDM,79
8100318,21
P1730CDM,62
P1656CDP,59
R34414ONZ,3
P1731CDM,163
P1510CDM,35
P1562CDP,0
8100319,10
OCG0836,60
8100325,7
P1733CDM,53
P1561CDM,220
R54198ONZ,10
OCG0050,2
8100324,6
P1734CDM,335
P1653CDP,0
P1565CDM,107
8100323,8
R34126ONZ,72
P1736CDM,20
P1585CDM,359
P1737CDM,208
P1584CDM,124
P1744CDM,359
P723CDP,0
P1759CDM,438
8100322,5
P1578CDM,1174
R31333ONZ,21
OCG0552,82
8100321,6
P1609CDM,113
R31309ONZ,14
P1608CDM,0
OCG0501,44
R31497ONZ,88
8100320,12
P1731CDP,75
P1762CDM,57
OCG0507,2
P1596CDM,1061
R31153ONZ,34
P1733CDP,117
P1592CDM,69
8100354,11
R31394ONZ,36
8100353,3
P1796CDM,115
R31253ONZ,77
P1795CDM,71
8100352,25
P1736CDP,35
R31172ONZ,80
P777CDP,70
P1630CDM,2
P1897CDP,147
P1632CDM,984
R31459ONZ,6
OCG0334,0
P794CDP,52
P1799CDM,62
R31460ONZ,42
8100351,10
P791CDP,24
P1898CDP,58
P760CDP,0
R31489ONZ,93
P757CDP,51
P1903CDP,139
P755CDP,101
8100350,3
P1633CDM,157
R31493ONZ,6
P754CDP,197
P2094CDP,0
P750CDP,17
P730CDP,84
P733CDP,78
P1634CDM,37
OCG0295,28
P746CDP,12
P748CDP,0
8100344,37
R31365ONZ,677
R34218ONZ,4
R31373ONZ,645
P1646CDM,25
P1800CDM,127
P798CDP,75
OCG0093,112
P799CDP,140
P803CDP,29
P1636CDM,122
R31431ONZ,3
8100345,0
P804CDP,0
R681952ONZ,36
R31430ONZ,90
P721CDP,0
P1707CDP,0
P722CDP,74
R581045ONZ,2
P726CDP,0
P1699CDP,87
P729CDP,72
8100346,11
R681938ONZ,18
8100347,6
R31480ONZ,11
P1697CDP,0
P812CDP,50
P813CDP,0
P1808CDM,14
OCG0548,68
P1811CDM,32
P1694CDP,1
P1656CDM,139
8100348,30
P1691CDP,0
P1814CDM,38
8100343,2
OCG0032,86
R34317ONZ,4
8100342,10
P843CDP,0
P844CDP,36
P1819CDM,99
P848CDP,0
P1827CDM,275
R54029ONZ,22
OCG0209,54
P1663CDM,1
R31250ONZ,19
P1841CDM,58
OCG0341,20
8100340,16
P853CDP,0
P1663CDP,0
R982044ONZ,32
OCG0497,78
